Mode,Line Id,Stop Name,Avg. Delay Seconds
B,29,MARCEL THIRY,128.243135164
B,29,MAI,127.909184302
B,29,MADOU,130.101883080
B,29,LEVIE,129.989708405
B,29,JESPERS,122.956537102
B,29,HYMANS,128.541842061
B,29,HOF TEN BERG,92.129317706
B,29,HEYDENBERG,126.100861450
B,29,GUTENBERG,114.914855988
B,29,GARE CENTRALE,149.713592233
B,29,DIAMANT,132.753362527
B,29,DE BROUCKERE,118.302705563
B,29,DAILLY,126.684210526
B,29,CLOVIS,135.957618894
B,29,CHARMILLE,126.952149533
B,29,ARENBERG,151.280373832
B,33,SAINT-GERY,105.378401361
B,33,ROYALE,180.803254438
B,33,PORTE DE NAMUR,217.257096947
B,33,POELAERT,127.514170040
B,33,PETIT SABLON,135.328922495
B,33,LOUISE,214.586461341
B,33,GRAND-PLACE,93.303697183
B,33,GRAND SABLON,133.161952555
B,33,DANSAERT,201.517241379
B,33,CHAPELLE,157.477862595
B,33,CESAR DE PAEPE,158.109106529
B,33,BOURSE,123.051377283
B,33,ANNEESSENS,155.875
B,34,VANDROMME,110.258671780
B,34,VALDUC,111.000465549
B,34,TRONE,115.730647856
B,34,STRATEGIE,111.632161874
B,34,SCIENCE,110.128397376
B,34,SAINTE-ANNE,115.525024534
B,34,PORTE DE NAMUR,138.881911903
B,34,MUSEUM,112.389930510
B,34,LUXEMBOURG,114.005923451
B,34,LA CHASSE,111.042154567
B,34,IDALIE,113.849507006
B,34,HANKAR,109.468207088
B,34,FETIS,114.496990973
B,34,ETANGS,117.229463415
B,34,EGLISE ST-JULIEN,113.611629183
B,34,DEUX CHAUSSEES,145.685109074
B,34,BUEDTS,107.907965256
B,34,BERGOJE,145.477035160
B,34,AUDERGHEM-SHOP.,112.683445190
B,34,ARSENAL,112.638719512
B,36,VANDER MEERSCHEN,139.912073827
B,36,VAL DES SEIGNEURS,138.752613240
B,36,THIEFFRY,156.235190487
B,36,STOCKEL,143.911533816
B,36,SCHUMAN,122.337227828
B,36,SAINTE-ALIX,137.343742877
B,36,RUE AU BOIS,145.949597728
B,36,ROI VAINQUEUR,149.999683544
B,36,PADDOCK,139.259588400
B,36,ONZE NOVEMBRE,149.909227589
B,36,OCEAN ATLANTIQUE,147.570231959
B,36,NERVIENS,143.028159099
B,36,MUSEE DU TRAM,161.386271871
B,36,MOUETTES,152.991831605
B,36,MOSTINCK,145.925696594
B,36,MERTENS,147.614015977
B,36,MAREYDE,153.764318992
B,36,MANOIR D'ANJOU,136.683268229
B,36,LOUIS HAP,142.097371565
B,36,LEMAN,137.355498721
B,36,LA CHASSE,151.226349980
B,36,KONKEL,91.206703911
B,36,KELLE,152.282727489
B,36,JULES CESAR,140.724468085
B,36,GERSIS,140.198654941
B,36,FROISSART,149.265112891
B,36,DREVE DE NIVELLES,153.475013291
B,36,CHIEN VERT,148.820301783
B,36,CHANT D'OISEAU,151.986482515
B,36,BOULEAUX,139.994080038
B,36,BOILEAU,163.951385390
B,36,BARON DE CASTRO,162.203225806
B,37,ZEECRABBE,171.040975610
B,37,VERREWINKEL,179.177790564
B,37,TIMMERMANS,175.652007648
B,37,STATUAIRES,186.281312793
B,37,PLACE SAINT-JOB,180.349882414
B,37,PEYO,183.848816827
B,37,PASTEUR,178.295345557
B,37,OBSERVATOIRE,180.625664658
B,37,MOLIERE-LONGCHAMP,178.292125663
B,37,MERCURE,181.213204119
B,37,HOUZEAU,182.959947900
B,37,HOSPICES,186.741017964
B,37,HOMBORCH,176.532268170
B,37,HEROS,188.901621622
B,37,GUI,183.152959262
B,37,GAZELLE,178.845070423
B,37,GARE DE SAINT-JOB,182.165065287
B,37,GARE DE LINKEBEEK,168.646739130
B,37,DIRECTOIRE,180.585928489
B,37,DE WANSIJN,175.896726862
B,37,COLLEGE ST-PIERRE,185.777979275
B,37,COGHEN,177.103358500
B,37,CABRIS,165.855874317
B,37,ALBERT,173.541353383
B,38,ZEECRABBE,121.790845518
B,38,VLEURGAT,128.013456572
B,38,VAN EYCK,120.044867437
B,38,TRONE,126.093147862
B,38,STATUAIRES,114.626956319
