Stop Name,Mode,Weekend,Line Id,Avg. Delay Seconds
AUDERGHEM-SHOP.,T,0,8,101.142477322
AUDERGHEM-SHOP.,T,1,8,178.642307692
AUDITOIRES-UCL,B,0,79,130.944444444
AUDITOIRES-UCL,B,1,79,261.020089286
AUDREY HEPBURN,B,0,88,168.966396860
AUDREY HEPBURN,B,0,13,174.622280244
AUDREY HEPBURN,B,1,88,210.709648332
AUDREY HEPBURN,B,1,13,192.304104478
AULNE,B,0,74,157.139299611
AULNE,B,0,48,96.598852224
AULNE,B,1,74,224.571059432
AULNE,B,1,48,219.737113402
AUMALE,M,0,5,79.104081633
AUMALE,M,1,5,157.566905005
AUTRIQUE,B,0,13,140.733936916
AUTRIQUE,B,1,13,253.127497621
AVANT-PORT,B,0,57,169.810844116
AVENUE DU PORT,B,0,86,161.722447705
AVENUE DU PORT,B,0,20,113.358743661
AVENUE DU PORT,B,0,14,136.678029129
AVENUE DU PORT,B,1,86,178.774353877
AVENUE DU PORT,B,1,20,222.804077010
AVENUE DU PORT,B,1,14,178.048805815
AVENUE DU ROI,B,0,50,155.185886403
AVENUE DU ROI,B,0,49,80.476737822
AVENUE DU ROI,B,0,48,113.333169895
AVENUE DU ROI,B,1,50,260.341829085
AVENUE DU ROI,B,1,49,174.078091106
AVENUE DU ROI,B,1,48,190.207486631
AVENUE DU ROI,T,0,82,93.680538556
AVENUE DU ROI,T,0,81,71.448773449
AVENUE DU ROI,T,1,82,172.978791774
AVENUE DU ROI,T,1,81,151.359459459
AVIATION,T,0,39,105.309589486
AVIATION,T,1,39,206.481222707
AZALEES,B,0,56,161.413696716
AZALEES,B,1,56,234.123853211
AZUR,T,0,19,79.192847125
AZUR,T,1,19,164.202719407
BAILLI,B,0,54,112.177866195
BAILLI,B,1,54,238.772965879
BAILLI,T,0,93,65.509099617
BAILLI,T,0,81,73.815167931
BAILLI,T,0,8,94.390639396
BAILLI,T,1,93,156.094915254
BAILLI,T,1,81,154.662535748
BAILLI,T,1,8,178.322472849
BAN-EIK,T,0,39,108.956738030
BAN-EIK,T,1,39,273.189220628
BARA,T,0,81,74.440171674
BARA,T,1,81,152.873786408
BARON DE CASTRO,B,0,36,145.595654346
BARON DE CASTRO,B,1,36,231.760460251
BARRIERE,T,0,97,101.401772526
BARRIERE,T,0,81,76.391631315
BARRIERE,T,1,97,218.337132004
BARRIERE,T,1,81,151.15
BASCULE,B,0,38,106.286603518
BASCULE,B,1,38,216.056036973
BASCULE,T,0,7,78.081146671
BASCULE,T,1,7,171.038543897
BASILIX,B,0,87,107.661423084
BASILIX,B,0,83,146.241258741
BASILIX,B,1,87,229.037683824
BASILIX,B,1,83,257.223826715
BASTOGNE,B,0,53,115.283791807
BASTOGNE,B,0,49,93.113423352
BASTOGNE,B,0,20,117.340326741
BASTOGNE,B,1,53,189.648334624
BASTOGNE,B,1,49,177.437226277
BASTOGNE,B,1,20,230.244859813
BEAULIEU,B,0,71,82.223020205
BEAULIEU,B,0,17,107.545454545
BEAULIEU,B,1,71,139.945642271
BEAULIEU,B,1,17,180.031559406
BEAULIEU,M,0,5,75.793533237
BEAULIEU,M,1,5,157.286374134
BEAUTE,B,0,49,96.485548048
BEAUTE,B,1,49,201.951403149
BEECKMANS,B,0,87,104.487010062
BEECKMANS,B,0,83,132.518883974
BEECKMANS,B,1,87,235.04375
BEECKMANS,B,1,83,237.496402878
BEEKKANT,B,0,87,72.786171100
BEEKKANT,B,1,87,192.243409791
BEEKKANT,M,0,6,137.925891900
BEEKKANT,M,0,5,84.811885421
BEEKKANT,M,0,2,117.634104833
BEEKKANT,M,0,1,76.683715683
BEEKKANT,M,1,6,196.422442244
BEEKKANT,M,1,5,164.327635328
BEEKKANT,M,1,2,144.288135593
BEEKKANT,M,1,1,146.012373453
BEGUINAGE,B,0,46,68.267620286
BEGUINAGE,B,1,46,160.438923395
BEKA,B,0,50,142.166313559
BEKA,B,1,50,179.087301587
BEL-AIR,T,0,39,99.820521390
BEL-AIR,T,1,39,196.144557823
BELGICA,B,0,14,121.521937843
BELGICA,B,1,14,259.252767528
BELGICA,M,0,6,136.792445221
BELGICA,M,1,6,194.607594937
BELGICA,T,0,51,90.783112019
BELGICA,T,1,51,143.227091633
BEMPT,B,0,50,152.281203566
BEMPT,B,1,50,258.678571429
BEMPT,T,0,97,99.448217888
BEMPT,T,0,82,99.032104428
BEMPT,T,1,97,225.899899900
BEMPT,T,1,82,175.826740506
BENES,B,0,20,119.485954435
BENES,B,1,20,229.527733756
BERCHEM-SHOPPING,B,0,87,103.344144144
BERCHEM-SHOPPING,B,1,87,219.037906137
BERCHEM-SHOPPING,T,0,82,93.383975659
BERCHEM-SHOPPING,T,1,82,172.069166667
BERENSHEIDE,B,0,17,160.668663871
BERENSHEIDE,B,1,17,277.978131213
BERGDAL,B,0,83,170.743922204
BERGDAL,B,1,83,215.168884340
BERGOJE,B,0,34,137.363244514
BERGOJE,B,1,34,179.702479339
BERKENDAEL,T,0,51,106.897092811
BERKENDAEL,T,0,4,89.304943914
BERKENDAEL,T,0,3,89.619204656
BERKENDAEL,T,1,51,164.799573561
BERKENDAEL,T,1,4,144.647354015
BERKENDAEL,T,1,3,143.920748487
BERTHELOT,T,0,97,95.740989103
BERTHELOT,T,1,97,211.570869225
BERVOETS,B,0,74,147.151643690
BERVOETS,B,0,54,115.421875
BERVOETS,B,0,50,156.243944213
BERVOETS,B,1,74,213.258589512
BERVOETS,B,1,54,231.188284519
BERVOETS,B,1,50,264.655884996
BESME,T,0,19,90.114963504
BESME,T,1,19,177.191104934
BETHLEEM,T,0,81,74.338840996
BETHLEEM,T,1,81,148.997809419
BEYSEGHEM,B,0,83,167.233673469
BEYSEGHEM,B,0,53,110.822966507
BEYSEGHEM,B,1,83,219.260083449
BEYSEGHEM,B,1,53,189.387982833
BIARRITZ,B,0,60,136.794392523
BIARRITZ,B,0,38,112.569078947
BIARRITZ,B,1,60,244.589514066
BIARRITZ,B,1,38,211.153233831
BIBLIOTHEQUE,B,0,95,80.771276596
BIBLIOTHEQUE,B,1,95,152.993055556
BICHON,B,0,65,97.367995487
BICHON,B,0,64,110.939599849
BICHON,B,1,65,200.056868538
BICHON,B,1,64,199.218213058
BICOQUE,B,0,58,136.027906977
BICOQUE,B,1,58,206.776752768
BIEBUYCK,B,0,57,168.059954751
BIEN-FAIRE,B,0,41,134.014516798
BIEN-FAIRE,B,1,41,259.299522673
BIENFAITEURS,B,0,65,93.436180422
BIENFAITEURS,B,1,65,203.538831065
BIENFAITEURS,T,0,62,194.053376206
BIENFAITEURS,T,0,25,23.666666667
BIENFAITEURS,T,1,62,205.834343434
BIENFAITEURS,T,1,25,34
BIGARREAUX,B,0,70,177.588950276
BIGARREAUX,B,0,43,170.136089578
BIGARREAUX,B,1,43,201.591503268
BIPLAN,B,0,80,109.047244094
BIPLAN,B,0,65,83.372781065
BIPLAN,B,1,80,231.876344086
BIPLAN,B,1,65,188.140536723
BIZET,B,0,75,147.786111111
BIZET,B,1,75,244.469026549
BIZET,M,0,5,78.695703125
BIZET,M,1,5,158.141762452
BLOKKEN,B,0,58,137.360567823
BLOKKEN,B,0,47,149.639155470
BLOKKEN,B,1,58,205.656716418
BLOKKEN,B,1,47,192.348591549
BLYCKAERTS,B,0,95,83.595427435
BLYCKAERTS,B,0,60,135.802232468
BLYCKAERTS,B,0,38,105.559993202
BLYCKAERTS,B,1,95,151.403368794
BLYCKAERTS,B,1,60,228.814299901
BLYCKAERTS,B,1,38,213.729948492
BOCKSTAEL,B,0,88,137.053063885
BOCKSTAEL,B,0,86,161.286564626
BOCKSTAEL,B,0,53,111.608315098
BOCKSTAEL,B,1,88,219.804186655
