Mode,Stop Name,Avg. Delay Seconds
T,BEL-AIR,115.641340782
T,HUNDERENVELD,115.663621202
T,BRESIL,115.690172414
T,TENREUKEN,116.454251150
T,WIENER,116.564155629
T,SAINT-DENIS,116.564378947
T,HERRMANN-DEBROUX,117.237974362
T,WIELS,117.269539265
T,SQ. DU CENTENAIRE,117.652578691
T,EXPOSITION,117.662436877
T,PLACE SAINT-JOB,117.784802242
T,EGLANTIERS,117.865842055
T,JANSON,117.914405229
T,MONACO,118.032441860
T,ANCIENNE BARRIERE,118.070262598
T,JEANNE,118.151970872
T,RUE AU BOIS,118.334859839
T,MADOUX,118.377166608
T,EMPAIN,118.507858316
T,STEPHANIE,118.741115833
T,ZAMAN-FOREST NAT.,118.888295688
T,PARC DES SOURCES,119.036400662
T,CHATAIGNES,119.098534516
T,RUISSEAU,119.146070076
T,ESCRIME,119.167505392
T,UZ BRUSSEL,119.342867294
T,MAX WALLER,119.513108614
T,STOCKEL,119.547371266
T,DE VILLALOBAR,119.596636319
T,BEMPT,119.667247387
T,VAN HAELEN,119.845855550
T,AUDERGHEM-FORET,119.931396786
T,UNION,120.023446942
T,ARBRE BALLON,120.272493573
T,TER MEEREN,120.340986395
T,MARLOW,120.354118553
T,UZ-PEDIATRIE,120.469025051
T,MUSEE DU TRAM,120.559395962
T,BRUXELLOIS,120.840451128
T,AMITIE,120.981282755
T,CREMATORIUM,121.080422040
T,AVIATION,121.160919540
T,LOUIS MARCELIS,121.170295924
T,THOMAS,121.430950666
T,TROIS COULEURS,121.480961538
T,RAVENSTEIN,121.650678867
T,DREVE DES BRULES,121.958313926
T,BRUSSELSESTEENWEG,122.268348251
T,CHIEN VERT,122.504312980
T,JULES CESAR,122.541722595
T,QUATRE BRAS,122.776982097
T,WOLVENDAEL,123.169412289
T,LANCASTER,123.435617104
T,MEISER,123.711822277
T,OPPEMSTRAAT,123.782620922
T,LEOPOLD II,124.679437001
T,TIR AUX PIGEONS,125.004672058
T,THEVENET,125.743557030
T,ROCHEFORT,126.096391888
T,BERTHELOT,126.201194399
T,LIEDTS,126.343516101
T,SIMONIS,127.946057184
T,COMBAZ,128.490307868
T,LEOPOLD III,128.561917690
T,TERVUREN STATION,128.936663693
T,MARIE-CHRISTINE,129.760530750
T,ESPLANADE,132.568178044
T,SAINCTELETTE,134.283198649
T,YSER,134.308317892
T,RIBAUCOURT,134.908402021
T,JUBILE,135.140257265
T,DROGENBOS,135.803796582
T,ROODEBEEK,136.319769831
T,FAIDER,136.610928859
T,VANDERSTICHELEN,136.831719787
T,DIEWEG,137.824210257
T,MARGUERITE DURAS,138.334144610
T,BAN-EIK,139.569311940
T,GARE DE BERCHEM,144.207962786
T,DARWIN,145.451414514
T,MA CAMPAGNE,148.254135079
T,DA VINCI,151.090629275
T,MOLIERE,151.561326658
T,FUSEE,177.341603053
T,LEKAERTS,182.245227606
T,EVERE SHOPPING,184.029695970
T,BOURGET,185.485074627
T,PENTATHLON,191.273331119
T,PATRIE,194.625102768
T,BIENFAITEURS,196.486618005
T,EUROCONTROL,216.737422868
T,ICHEC,256
