Line Id,Point Id,Day Of Week,Avg. Delay Seconds
1,8151,Sunday,148.290123457
1,8152,Friday,88.761394102
1,8152,Thursday,83.8
1,8152,Wednesday,81.1609375
1,8152,Tuesday,89.284802043
1,8152,Monday,75.431989924
1,8152,Sunday,172.893854749
1,8161,Friday,74.429710867
1,8161,Thursday,72.413090129
1,8161,Wednesday,72.194117647
1,8161,Tuesday,74.417956656
1,8161,Monday,72.730188679
1,8161,Sunday,154.762126246
1,8271,Friday,86.473880597
1,8271,Thursday,80.415708812
1,8271,Wednesday,82.575155280
1,8271,Tuesday,80.683555556
1,8271,Monday,78.787795993
1,8271,Sunday,148.112081514
1,8272,Friday,69.141891892
1,8272,Thursday,65.116607774
1,8272,Wednesday,67.565853659
1,8272,Tuesday,80.307692308
1,8272,Monday,69.788808664
1,8272,Sunday,140.659472422
1,8281,Friday,84.225895317
1,8281,Thursday,77.620396601
1,8281,Wednesday,79.801444043
1,8281,Tuesday,81.046757164
1,8281,Monday,78.125766871
1,8281,Sunday,150.333333333
1,8282,Friday,70.491139241
1,8282,Thursday,66.425068120
1,8282,Wednesday,69.162436548
1,8282,Tuesday,85.322352941
1,8282,Monday,71.452408931
1,8282,Sunday,139.813758389
1,8291,Friday,84.811940299
1,8291,Thursday,74.984375
1,8291,Wednesday,78.811188811
1,8291,Tuesday,83.259766964
1,8291,Monday,77.187933426
1,8291,Sunday,152.445626478
1,8292,Friday,67.764084507
1,8292,Thursday,64.501858736
1,8292,Wednesday,67.8
1,8292,Tuesday,79.925531915
1,8292,Monday,68.145190563
1,8292,Sunday,138.297222222
1,8731,Thursday,72
1,8731,Wednesday,45.25
1,8731,Tuesday,20
1,8731,Monday,82
1,8733,Friday,74.423076923
1,8733,Thursday,91.571428571
1,8733,Wednesday,110.787234043
1,8733,Tuesday,111.711764706
1,8733,Monday,111.529411765
1,8733,Sunday,160.204819277
1,8741,Friday,83.626106195
1,8741,Thursday,70.682577566
1,8741,Wednesday,74.784219002
1,8741,Tuesday,82.392857143
1,8741,Monday,75.877049180
1,8741,Sunday,146.735807860
1,8742,Friday,75.236842105
1,8742,Thursday,65.5390625
1,8742,Wednesday,73.204176334
1,8742,Tuesday,79.320272572
1,8742,Monday,75.727574751
1,8742,Sunday,145.243619490
2,8301,Friday,77.643939394
2,8301,Thursday,96.422680412
2,8301,Wednesday,94.434169279
2,8301,Tuesday,113.704275534
2,8301,Monday,105.322132097
2,8301,Sunday,131.796934866
2,8302,Friday,102.784256560
2,8302,Thursday,110.252100840
2,8302,Wednesday,108.431297710
2,8302,Tuesday,125.783149171
2,8302,Monday,125.793923382
2,8302,Sunday,152.953846154
