Stop Name,Mode,Avg. Delay Seconds
ROUGE-CLOITRE,B,111.022284123
ROUPPE,B,179.564637681
ROYALE,T,99.001953507
ROYALE,B,108.588174630
RTL HOUSE,B,158.715570786
RUE AU BOIS,T,118.334859839
RUE AU BOIS,B,145.949597728
RUE DE L'OBUS,B,164.933490443
RUE LONGUE,B,161.358778626
RUE TRAVERSIERE,B,154.219347582
RUISBROEK CENTRUM,B,160.677258403
RUISSEAU,T,119.146070076
SABCA,B,152.810887097
SACRE-COEUR,B,145.006076389
SAINCTELETTE,T,134.283198649
SAINT-ANTOINE,B,121.601622545
SAINT-DENIS,T,116.564378947
SAINT-DENIS,B,155.768125914
SAINT-GERY,B,105.378401361
SAINT-GUIDON,T,101.915872694
SAINT-GUIDON,M,89.003885759
SAINT-GUIDON,B,110.440091686
SAINT-JOSSE,B,126.210538205
SAINT-LAMBERT,T,84.199636123
SAINT-LOUIS,B,146.730058366
SAINT-VINCENT,B,118.884863042
SAINTE-ALIX,B,137.343742877
SAINTE-ALLIANCE,B,188.752971688
SAINTE-ANNE,B,115.525024534
SAINTE-CATHERINE,M,90.283440195
SAINTE-FAMILLE,B,167.811892381
SAINTE-MARIE,T,95.190464548
SAVONNERIE,B,164.662027833
SCHAERBEEK GARE,B,153.627321750
SCHERDEMAEL,B,76.464266131
SCHEUT,B,165.554104758
SCHOLA EUROPEA,B,120.282222222
SCHOONEJANS,B,145.116068433
SCHUMAN,M,90.861039694
SCHUMAN,B,143.304176914
SCHWEITZER,T,101.418783053
SCHWEITZER,B,143.298327759
SCIENCE,B,116.527494908
SEPT ETOILES,B,106.629870130
SERBIE,B,129.697709924
SERRES ROYALES,B,124.000647983
SIBELIUS,B,75.992339611
SIMONIS,T,127.946057184
SIMONIS,M,138.230000746
SIMONIS,B,118.217266776
SIMPSON,B,122.734654422
SIPPELBERG,B,103.408798910
SLEGERS,B,139.421634911
SOLBOSCH,T,114.131929390
SORENSEN,B,125.544307233
SPEECKAERT,B,128.477227723
SPORTCENTRUM,B,162.349056604
SQ. DU CENTENAIRE,T,117.652578691
SQ. DU CENTENAIRE,B,159.253425943
STADE,T,105.308997135
STADE FALLON,B,140.886327078
STALLE (P),T,92.872513149
STATION LOT,B,142.934560327
STATUAIRES,B,154.758614778
STEPHANIE,T,118.741115833
STEPHENSON,B,137.571802022
STEURS,B,149.247958258
STIENON,T,98.183294088
STIENON,B,145.891500904
STIJN STREUVELS,B,191.941446613
STOCKEL,T,119.547371266
STOCKEL,M,85.099286678
STOCKEL,B,143.911533816
STRATEGIE,B,111.632161874
STUYVENBERGH,T,92.176139561
STUYVENBERGH,M,143.307437560
SUEDE,T,107.285432132
SUEDE,B,134.805672564
TAMARIS,B,128.302940167
TENREUKEN,T,116.454251150
TER MEEREN,T,120.340986395
TERCOIGNE,B,177.059206246
TERDELT,B,115.113757134
TERVUREN STATION,T,128.936663693
THEVENET,T,125.743557030
THIEFFRY,M,88.417649992
THIEFFRY,B,156.235190487
THIRY-WOLUWE,B,140.519652801
THOMAS,T,121.430950666
THUMAS,B,119.886520376
THYM,B,128.405398712
THYS,B,98.091513492
TILLEUL,T,75.889925032
TIMMERMANS,B,131.863136758
TIR AUX PIGEONS,T,125.004672058
TOMBERG,M,90.049376559
TOMBERG,B,141.874400590
TOULOUSE,B,148.858954041
TOUR ET TAXIS,B,152.599813378
TOURNOI,B,134.566512244
TRANSVAAL,B,111.151228733
TRASSERSWEG,B,126.533819815
TREFLES,B,161.208921256
TREURENBERG,B,131.705065488
TREVES,B,149.189225941
TRIANGLE,T,112.992281568
TRIANGLE,B,182.618423789
TRINITE,T,85.494280554
TRINITE,B,133.878285654
TRITOMAS,B,154.649468892
TROIS COULEURS,T,121.480961538
TROIS PERTUIS,B,171.296536797
TRONE,M,126.310375276
TRONE,B,116.787953819
TWEE LEEUWENWEG,B,169.114530926
TWYENINCK,B,117.086894361
UCCLE CALEVOET,T,110.506639428
UCCLE CALEVOET,B,158.813795647
UCCLE SPORT,B,170.732905983
UCCLE-STALLE,B,107.005037116
UCL SAINT-LUC,B,119.978146853
ULB,T,114.062183170
ULB,B,94.786457900
UNION,T,120.023446942
UZ BRUSSEL,T,119.342867294
UZ BRUSSEL,B,157.289843328
UZ-PEDIATRIE,T,120.469025051
UZ-PEDIATRIE,B,157.130378997
UZ-VUB,B,167.671475330
VAL DES SEIGNEURS,B,138.752613240
VAL MARIA,B,154.150229441
VALDUC,B,111.000465549
VALIDA,T,102.552907739
VAN BEETHOVEN,T,83.225343694
VAN BEETHOVEN,B,171.861248316
VAN BEVER,B,190.231387087
VAN CUTSEM,T,69.814015152
VAN EYCK,B,132.012466058
VAN HAELEN,T,119.845855550
VAN KALKEN,B,116.975503187
VAN PRAET,T,88.902687166
VAN PRAET,B,164.842394289
VAN ZANDE,T,105.695753195
VANDENHOVEN,B,128.564307635
VANDER ELST,B,131.340098545
VANDER MEERSCHEN,B,139.912073827
VANDERKINDERE,T,109.852570783
VANDERSTICHELEN,T,136.831719787
VANDERSTICHELEN,B,173.188850174
VANDERVELDE,M,90.228443584
VANDROMME,B,110.258671780
VANHELLEMONT,B,77.117353059
VANHUFFEL,B,157.681769609
VANNE,B,135.606963958
VARIA,B,153.737112252
VEEWEYDE,M,89.704636678
VEEWEYDE,B,116.560618729
VERBEYST,B,159.974770039
VERBOEKHOVEN,T,79.239188672
VERBOEKHOVEN,B,153.390452030
VEREMAN,T,93.611983293
VERGER,B,152.058364070
VERGOTE,B,151.066529621
VERHEYLEWEGHEN,B,138.309776913
VERREWINKEL,B,182.391774892
VERSAILLES,B,148.079981802
VERT CHASSEUR,B,153.589912281
VETERANS COLON.,B,167.041765794
VETERINAIRES,B,102.853028798
VIADUC E40,B,88.568393363
VICTOR ALLARD,B,148.083274399
VICTOR HUGO,B,155.588018868
VIER FONTEINEN,B,149.860252005
VIER HUISKENS,B,198.785100287
VIEUX CHEMIN,B,167.506187818
VIGNETTE,B,150.288706257
VILLON,B,130.049913941
VILVOORDE STATION,B,117.593223906
VINCOTTE,B,127.433621605
VIOLETTES,B,183.923745174
VIVIER D'OIE,B,131.776847613
VLEURGAT,T,105.303980019
VLEURGAT,B,139.547610253
VLIERKENS,B,174.824779249
VOETBALCLUB,B,139.097636177
VOISINS,B,196.946969697
VOLTAIRE,B,173.227051178
VOOT,T,113.657856700
VOOT,B,140.187899787
VTM,B,179.044527435
VUB,T,100.062822719
WAELHEM,T,89.672468594
WAGON,T,102.387483740
WAGON,B,196.561652281
WAPPERS,B,143.837720488
WASHINGTON,B,156.218421800
WATERBURY,B,145.827371695
WATERLOO WILSON,B,128.453101588
WATERMAEL GARE,B,152.258472433
WAUTERS,B,168.725897921
WAXWEILER,B,167.285714286
WERY,B,145.923390672
WESTLAND SHOPPING,B,119.321167012
WIELS,T,117.269539265
WIELS,B,130.906293706
WIENER,T,116.564155629
WIENER,B,136.220520674
WILLEBROEK,B,151.117507088
WILLEMYNS,B,131.224573299
WINTEROY,B,143.186855670
WITLOOF,B,120.521475257
WOESTE,T,98.465448769
WOESTE,B,128.205970149
WOLUWE SHOPPING,T,113.717325989
WOLVENDAEL,T,123.169412289
WTC,B,133.747265943
YSAYE,T,85.124844566
YSAYE,B,180.788565264
YSER,T,134.308317892
YSER,M,127.153840897
YSER,B,99.667676179
ZAMAN-FOREST NAT.,T,118.888295688
ZAVELPUT,B,120.986256375
ZEECRABBE,B,152.982026511
ZENOBE GRAMME,B,269.415233415
ZEPHYR,B,159.976899527
