Stop Name,Mode,Avg. Delay Seconds
CIM. DE JETTE,B,154.365918367
CIM. DE MOLENBEEK,T,105.904013785
CIM. DE MOLENBEEK,B,116.221916394
CIMETIERES,B,127.513900048
CLAESSENS,B,159.561714286
CLAYS,B,147.889880952
CLEMENCE EVERARD,B,129.827008379
CLEMENCEAU,M,129.716897296
CLEMENCEAU,B,85.948802947
CLESSE,B,115.307300509
CLINIQUES-UCL,B,152.212593876
CLOVIS,B,135.957618894
COCCINELLES,T,112.448550313
COGHEN,B,177.103358500
COLIGNON,B,174.187746724
COLLEGE S.-COEUR,T,101.334979210
COLLEGE S.-COEUR,B,117.172927662
COLLEGE ST-PIERRE,B,184.159165752
COLOMBOPHILES,B,164.487847222
COLONEL BOURG,B,148.288978930
COMBAZ,T,128.490307868
COMHAIRE,B,109
COMTE DE FLANDRE,M,90.080282502
COMTE DE FLANDRE,B,173.905198777
CONDOR,B,124.781748868
CONGRES,T,101.324562851
CONSCIENCE,B,119.041889280
CONSEIL,T,89.325771897
CORTENBACH,B,117.331568060
COTEAUX,B,179.363318645
CPAS GANSHOREN,B,158.783011583
CRAETBOS,B,180.709039548
CRAINHEM,M,91.526693456
CREMATORIUM,T,121.080422040
CROCQ,B,155.866775068
CROIX DE GUERRE,B,158.434841454
CROSSING,B,151.711418048
CUREGHEM,T,104.337136205
CUREGHEM,B,82.282393670
DA VINCI,T,151.090629275
DA VINCI,B,147.176362488
DAILLY,B,142.679648775
DANSAERT,B,190.609598191
DARWIN,T,145.451414514
DAUTZENBERG,T,84.612943707
DE BEJAR,B,151.863181672
DE BROUCKERE,T,108.195451813
DE BROUCKERE,M,90.061088556
DE BROUCKERE,B,124.072095929
DE BURBURE,T,114.381353700
DE HEYN,B,153.597998332
DE LINDE,B,76.205193808
DE LOMBAERDE,B,112.710591133
DE VILLALOBAR,T,119.596636319
DE VILLEGAS,B,180.207360615
DE WAND,T,97.741795580
DE WAND,B,148.836176376
DE WANSIJN,B,158.449798215
DEBUSSY,B,156.158723581
DECROLY,B,107.290364661
DEFACQZ,T,102.909604520
DEGROOFF,B,146.669616850
DELACROIX,M,129.586749754
DELACROIX,B,133.463426791
DELHOVE,B,156.715472893
DELLEUR,T,115.439098199
DELPORTE,B,101.962732919
DELTA,M,87.683139535
DELTA,B,101.282391003
DEMEY,M,84.903939962
DEMEY,B,145.721546961
DEMINEURS,T,103.616461366
DEMINEURS,B,152.571743929
DEMOLDER,T,92.526805082
DEPORTES,B,133.000268312
DESTOUVELLES,B,131.890008961
DEUTSCHE SCHULE,B,204.144970414
DEUX CHAUSSEES,B,145.685109074
DEUX GARES,B,99.674740484
DIABLOTINS,B,132.491968104
DIABOLO,B,149.282059482
DIAMANT,T,95.436898698
DIAMANT,B,151.812052019
DIEGEMSTRAAT,B,156.864674868
DIELEGHEM,B,149.800331858
