Stop Name,Mode,Day Of Week,Line Id,Avg. Delay Seconds
AMBIORIX,B,Tuesday,64,130.339776195
AMBIORIX,B,Tuesday,63,115.207357860
AMBIORIX,B,Tuesday,60,139.684311050
AMBIORIX,B,Tuesday,56,153.354838710
AMBIORIX,B,Wednesday,64,102.509960159
AMBIORIX,B,Wednesday,63,105.893451720
AMBIORIX,B,Wednesday,60,128.211706102
AMBIORIX,B,Wednesday,56,140.670175439
AMBIORIX,B,Thursday,64,109.324853229
AMBIORIX,B,Thursday,63,107.013628620
AMBIORIX,B,Thursday,60,132.393548387
AMBIORIX,B,Thursday,56,141.183887916
AMBIORIX,B,Friday,64,113.030303030
AMBIORIX,B,Friday,63,100.898467433
AMBIORIX,B,Friday,60,123.351697630
AMBIORIX,B,Friday,56,145.207939509
AMBIORIX,B,Saturday,64,252.065693431
AMBIORIX,B,Saturday,63,175.297391304
AMBIORIX,B,Saturday,60,242.104890605
AMBIORIX,B,Saturday,56,246.868975904
AMETHYSTE,B,Sunday,14,176.847014925
AMETHYSTE,B,Monday,14,155.207151665
AMETHYSTE,B,Tuesday,83,95.714285714
AMETHYSTE,B,Tuesday,14,144.131081081
AMETHYSTE,B,Wednesday,14,140.790262172
AMETHYSTE,B,Thursday,83,41
AMETHYSTE,B,Thursday,14,131.073239437
AMETHYSTE,B,Friday,83,69.333333333
AMETHYSTE,B,Friday,14,129.310810811
AMETHYSTE,B,Saturday,14,172.195238095
AMITIE,T,Sunday,39,240.300300300
AMITIE,T,Monday,39,102.874845105
AMITIE,T,Tuesday,39,105.670293798
AMITIE,T,Wednesday,39,102.594679186
AMITIE,T,Thursday,39,102.303609342
AMITIE,T,Friday,39,96.650627615
AMITIE,T,Saturday,39,179.663888889
ANATOLE FRANCE,B,Sunday,59,246.85
ANATOLE FRANCE,B,Monday,59,120.334987593
ANATOLE FRANCE,B,Tuesday,59,130.092636580
ANATOLE FRANCE,B,Wednesday,59,111.878504673
ANATOLE FRANCE,B,Thursday,59,110.262096774
ANATOLE FRANCE,B,Friday,59,114.798206278
ANATOLE FRANCE,B,Saturday,59,196.187214612
ANCIENNE BARRIERE,B,Sunday,14,179.447552448
ANCIENNE BARRIERE,B,Monday,14,137.848993289
ANCIENNE BARRIERE,B,Tuesday,14,151.590778098
ANCIENNE BARRIERE,B,Wednesday,14,148.762135922
ANCIENNE BARRIERE,B,Thursday,14,131.760273973
ANCIENNE BARRIERE,B,Friday,14,137.283783784
ANCIENNE BARRIERE,B,Saturday,14,167.634482759
ANCIENNE BARRIERE,T,Sunday,9,175.980213090
ANCIENNE BARRIERE,T,Monday,9,105.236790607
ANCIENNE BARRIERE,T,Tuesday,9,118.054239401
ANCIENNE BARRIERE,T,Wednesday,9,99.071161049
ANCIENNE BARRIERE,T,Thursday,9,101.694329184
ANCIENNE BARRIERE,T,Friday,9,98.033850494
ANCIENNE BARRIERE,T,Saturday,9,155.339547270
ANDROMEDE,B,Sunday,79,260.921195652
ANDROMEDE,B,Sunday,27,198.237347295
ANDROMEDE,B,Monday,79,138.614152203
ANDROMEDE,B,Monday,27,150.275284662
ANDROMEDE,B,Tuesday,79,140.872928177
ANDROMEDE,B,Tuesday,27,155.440378549
ANDROMEDE,B,Wednesday,79,115.641762452
ANDROMEDE,B,Wednesday,27,153.735720375
ANDROMEDE,B,Thursday,79,127.492146597
ANDROMEDE,B,Thursday,27,144.779220779
ANDROMEDE,B,Friday,79,127.585014409
ANDROMEDE,B,Friday,27,149.438596491
ANDROMEDE,B,Saturday,79,232.938914027
ANDROMEDE,B,Saturday,27,210.745526839
ANNECY,B,Sunday,42,127.982658960
ANNECY,B,Monday,42,126.658536585
ANNECY,B,Tuesday,42,126.879159370
ANNECY,B,Wednesday,42,124.767932489
ANNECY,B,Thursday,42,112.600628931
ANNECY,B,Friday,42,117.310580205
ANNECY,B,Saturday,42,102.231651376
ANNEESSENS,B,Sunday,48,165.539122958
ANNEESSENS,B,Sunday,33,122.773584906
ANNEESSENS,B,Monday,48,120.102916896
ANNEESSENS,B,Monday,33,210.254545455
ANNEESSENS,B,Tuesday,48,127.982142857
ANNEESSENS,B,Tuesday,33,182.217021277
ANNEESSENS,B,Wednesday,48,127.211128049
ANNEESSENS,B,Wednesday,33,80.741573034
ANNEESSENS,B,Thursday,48,113.057539683
ANNEESSENS,B,Thursday,33,93.646551724
ANNEESSENS,B,Friday,48,137.772073922
ANNEESSENS,B,Friday,33,107.413043478
ANNEESSENS,B,Saturday,48,151.368573497
ANNEESSENS,B,Saturday,33,190.475471698
ANNEESSENS,T,Sunday,4,153.090308370
ANNEESSENS,T,Sunday,3,169.287456446
ANNEESSENS,T,Monday,4,91.821643287
ANNEESSENS,T,Monday,3,95.701149425
ANNEESSENS,T,Tuesday,4,104.529157667
ANNEESSENS,T,Tuesday,3,95.814122534
ANNEESSENS,T,Wednesday,4,98.534290271
ANNEESSENS,T,Wednesday,3,77.475088968
ANNEESSENS,T,Thursday,4,84.930817610
ANNEESSENS,T,Thursday,3,76.469907407
ANNEESSENS,T,Friday,4,84.219626168
ANNEESSENS,T,Friday,3,84.617801047
ANNEESSENS,T,Saturday,4,140.301854975
ANNEESSENS,T,Saturday,3,134.260504202
ANTOON VAN OSS,B,Sunday,56,224.458333333
ANTOON VAN OSS,B,Sunday,47,214.81875
ANTOON VAN OSS,B,Monday,57,161.852941176
ANTOON VAN OSS,B,Monday,56,137.424742268
ANTOON VAN OSS,B,Monday,47,94.622754491
ANTOON VAN OSS,B,Tuesday,57,167.442408377
ANTOON VAN OSS,B,Tuesday,56,152.751282051
ANTOON VAN OSS,B,Tuesday,47,100.650137741
ANTOON VAN OSS,B,Wednesday,57,153.72265625
ANTOON VAN OSS,B,Wednesday,56,112.642384106
ANTOON VAN OSS,B,Wednesday,47,74.375939850
ANTOON VAN OSS,B,Thursday,57,149.374331551
ANTOON VAN OSS,B,Thursday,56,118.760162602
ANTOON VAN OSS,B,Thursday,47,85.706586826
ANTOON VAN OSS,B,Friday,57,162.343558282
ANTOON VAN OSS,B,Friday,56,137.406862745
ANTOON VAN OSS,B,Friday,47,90.300653595
ANTOON VAN OSS,B,Saturday,56,233.866666667
ANTOON VAN OSS,B,Saturday,47,145.886363636
AQUIRIS,B,Sunday,58,253.039215686
AQUIRIS,B,Monday,58,147.456431535
AQUIRIS,B,Tuesday,58,146.844444444
AQUIRIS,B,Wednesday,58,129.769230769
AQUIRIS,B,Thursday,58,131.993103448
AQUIRIS,B,Friday,58,137.263513514
AQUIRIS,B,Saturday,58,199.356643357
ARAUCARIA,T,Sunday,7,125.969348659
ARAUCARIA,T,Sunday,3,160.781094527
ARAUCARIA,T,Monday,7,81.467184801
ARAUCARIA,T,Monday,3,88.268711656
ARAUCARIA,T,Tuesday,7,79.690017513
ARAUCARIA,T,Tuesday,3,89.479809976
ARAUCARIA,T,Wednesday,7,70.271122320
ARAUCARIA,T,Wednesday,3,64.209134615
ARAUCARIA,T,Thursday,7,67.888372093
ARAUCARIA,T,Thursday,3,60.255747126
ARAUCARIA,T,Friday,7,68.174295775
ARAUCARIA,T,Friday,3,71.891025641
ARAUCARIA,T,Saturday,7,87.024714829
ARAUCARIA,T,Saturday,3,147.485666105
