Line Id,Mode,Avg. Speed,COLOR_HEX,src_lon,src_lat,tar_lon,tar_lat
12,B,25.92138878,#338C26,4.402125999727621,50.85601302479599,4.400197015008969,50.855526338702326
12,B,25.92138878,#338C26,4.39775548215646,50.855196168844216,4.397725642846794,50.8551719047665
12,B,25.92138878,#338C26,4.400197015008969,50.855526338702326,4.398988230776316,50.85523180829636
12,B,25.92138878,#338C26,4.398988230776316,50.85523180829636,4.398626052810621,50.855186955761496
12,B,25.92138878,#338C26,4.398626052810621,50.855186955761496,4.398485456350802,50.855190588105344
12,B,25.92138878,#338C26,4.398485456350802,50.855190588105344,4.398369008895614,50.855203203535616
12,B,25.92138878,#338C26,4.398369008895614,50.855203203535616,4.3982071400694105,50.85525448534383
12,B,25.92138878,#338C26,4.3982071400694105,50.85525448534383,4.3981389783406915,50.85526618917832
12,B,25.92138878,#338C26,4.3981389783406915,50.85526618917832,4.39810347526021,50.855268895123
12,B,25.92138878,#338C26,4.397792417333119,50.85521234057376,4.39775548215646,50.855196168844216
12,B,25.92138878,#338C26,4.398099214683394,50.85526889621399,4.398096374298955,50.855268896941254
12,B,25.92138878,#338C26,4.398096374298955,50.855268896941254,4.398046662982237,50.855261718065215
12,B,25.92138878,#338C26,4.398046662982237,50.855261718065215,4.397982749762528,50.85525454279129
12,B,25.92138878,#338C26,4.397982749762528,50.85525454279129,4.397940140579261,50.85524915995665
12,B,25.92138878,#338C26,4.397940140579261,50.85524915995665,4.397918835420241,50.855245569584554
12,B,25.92138878,#338C26,4.397918835420241,50.855245569584554,4.397846395397392,50.855229406914866
12,B,25.92138878,#338C26,4.397846395397392,50.855229406914866,4.397792417333119,50.85521234057376
12,B,25.92138878,#338C26,4.403028005928597,50.85624109243721,4.402125999727621,50.85601302479599
12,B,25.92138878,#338C26,4.39810347526021,50.855268895123,4.398099214683394,50.85526889621399
12,B,25.92138878,#338C26,4.404333447631048,50.85657510504961,4.403028005928597,50.85624109243721
12,B,25.92138878,#338C26,4.406469696933222,50.85858267623845,4.406515094800973,50.85851973498312
12,B,25.92138878,#338C26,4.406319337592271,50.85707339079642,4.405418721829863,50.856848044909924
12,B,25.92138878,#338C26,4.406113429917807,50.858862365254296,4.406228402006423,50.858773332028115
12,B,25.92138878,#338C26,4.397725642846794,50.8551719047665,4.397667376014234,50.85510989199422
12,B,25.92138878,#338C26,4.406228402006423,50.858773332028115,4.406224128702878,50.8587580512974
12,B,25.92138878,#338C26,4.406224128702878,50.8587580512974,4.406219846643738,50.858731983189756
12,B,25.92138878,#338C26,4.406219846643738,50.858731983189756,4.406234033548867,50.858712201712024
12,B,25.92138878,#338C26,4.406234033548867,50.858712201712024,4.406245389345432,50.85870410748188
12,B,25.92138878,#338C26,4.406245389345432,50.85870410748188,4.406266678439111,50.85868522263653
12,B,25.92138878,#338C26,4.406266678439111,50.85868522263653,4.406314961166432,50.85867621742003
12,B,25.92138878,#338C26,4.406314961166432,50.85867621742003,4.406356144598222,50.858669911346134
12,B,25.92138878,#338C26,4.406356144598222,50.858669911346134,4.406469696933222,50.85858267623845
12,B,25.92138878,#338C26,4.406515094800973,50.85851973498312,4.40671094776434,50.85834077989791
12,B,25.92138878,#338C26,4.40671094776434,50.85834077989791,4.406848610802389,50.858213982738654
12,B,25.92138878,#338C26,4.406848610802389,50.858213982738654,4.40723179227316,50.85786056867494
12,B,25.92138878,#338C26,4.40723179227316,50.85786056867494,4.407587996653193,50.85752334348997
12,B,25.92138878,#338C26,4.407587996653193,50.85752334348997,4.4076404630109955,50.85742444145264
12,B,25.92138878,#338C26,4.4076404630109955,50.85742444145264,4.407621986802593,50.85740916555778
12,B,25.92138878,#338C26,4.407621986802593,50.85740916555778,4.407592151579727,50.8573974892826
12,B,25.92138878,#338C26,4.407592151579727,50.8573974892826,4.407204338453832,50.85729783601961
12,B,25.92138878,#338C26,4.407204338453832,50.85729783601961,4.406319337592271,50.85707339079642
12,B,25.92138878,#338C26,4.405418721829863,50.856848044909924,4.404333447631048,50.85657510504961
12,B,25.92138878,#338C26,4.397667376014234,50.85510989199422,4.397638934363923,50.855049669574306
12,B,25.92138878,#338C26,4.397093566810423,50.85272422353906,4.397048064356244,50.852628946116035
12,B,25.92138878,#338C26,4.397631816469141,50.85502270289332,4.397627510111525,50.854949889094115
12,B,25.92138878,#338C26,4.397104944396812,50.852751189215326,4.397093566810423,50.85272422353906
12,B,25.92138878,#338C26,4.397048064356244,50.852628946116035,4.396433762926605,50.85128246928097
12,B,25.92138878,#338C26,4.396433762926605,50.85128246928097,4.396372696590013,50.85127709033482
12,B,25.92138878,#338C26,4.396372696590013,50.85127709033482,4.396311628646618,50.851269014506826
12,B,25.92138878,#338C26,4.396311628646618,50.851269014506826,4.396215054099234,50.851252856623276
12,B,25.92138878,#338C26,4.396215054099234,50.851252856623276,4.396121313319731,50.85122591058075
12,B,25.92138878,#338C26,4.396121313319731,50.85122591058075,4.396055976175187,50.85120255348851
12,B,25.92138878,#338C26,4.396055976175187,50.85120255348851,4.395938066166087,50.85112796870698
12,B,25.92138878,#338C26,4.395938066166087,50.85112796870698,4.3959039664508,50.85109741250043
12,B,25.92138878,#338C26,4.3959039664508,50.85109741250043,4.395885491755082,50.85107404417982
12,B,25.92138878,#338C26,4.395885491755082,50.85107404417982,4.395865590100348,50.851038989842145
12,B,25.92138878,#338C26,4.395865590100348,50.851038989842145,4.3958442503471815,50.85097337153493
12,B,25.92138878,#338C26,4.3958442503471815,50.85097337153493,4.3958413528460065,50.85087628559904
